key,shopKey,productKey,scope,sourceType,businessStatus,indexStatus,category,showcaseRole,reviewAction,question,answer
k034,shop_mia_fashion,fashion_hoodie,PRODUCT,AUTO_LEARNED,ENABLED,READY,USE_CASE,supporting,KEEP,适合什么季节？,适合春秋日常穿着。
k035,shop_mia_fashion,fashion_hoodie,PRODUCT,MANUAL,ENABLED,READY,CARE,scenario_1_care,KEEP,怎么洗？,建议冷水手洗。
k036,shop_mia_fashion,fashion_sun_jacket,PRODUCT,AUTO_LEARNED,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,防晒指数是多少？,商品说明为UPF50+。
k037,shop_mia_fashion,fashion_sun_jacket,PRODUCT,MANUAL,ENABLED,READY,MATERIAL,supporting,KEEP,面料厚吗？,面料轻薄透气。
k038,shop_mia_fashion,fashion_sun_jacket,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,CARE,supporting,KEEP,可以机洗吗？,可以机洗，建议装洗衣袋。
k039,shop_mia_fashion,fashion_sun_jacket,PRODUCT,AUTO_LEARNED,ENABLED,READY,CARE,supporting,KEEP,可以高温熨烫吗？,不可高温熨烫。
k040,shop_mia_fashion,fashion_sun_jacket,PRODUCT,MANUAL,ENABLED,READY,USE_CASE,supporting,KEEP,适合什么场景？,适合通勤和户外防晒。
k041,shop_mia_fashion,fashion_jeans,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,版型是什么？,高腰直筒版型。
k042,shop_mia_fashion,fashion_jeans,PRODUCT,MANUAL,ENABLED,READY,MATERIAL,supporting,KEEP,有弹力吗？,面料含少量弹力纤维。
k043,shop_mia_fashion,fashion_jeans,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,CARE,supporting,KEEP,怎么洗？,建议翻面冷水洗涤。
k044,shop_mia_fashion,fashion_jeans,PRODUCT,AUTO_LEARNED,ENABLED,READY,CARE,supporting,KEEP,会掉色吗？,深色牛仔建议与浅色衣物分开清洗。
k045,shop_mia_fashion,fashion_jeans,PRODUCT,MANUAL,ENABLED,READY,USE_CASE,supporting,KEEP,适合什么风格？,适合日常通勤和休闲搭配。
k046,shop_mia_fashion,fashion_down_coat,PRODUCT,AUTO_LEARNED,ENABLED,READY,MATERIAL,supporting,KEEP,填充物是什么？,填充物为90%白鸭绒。
k047,shop_mia_fashion,fashion_down_coat,PRODUCT,MANUAL,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,蓬松度多少？,商品说明为650蓬松度。
k048,shop_mia_fashion,fashion_down_coat,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,预售商品的履约信息在哪里查看？,请以订单详情中展示的最新履约信息为准。
k049,shop_mia_fashion,fashion_down_coat,PRODUCT,AUTO_LEARNED,ENABLED,READY,CARE,supporting,KEEP,怎么洗？,建议专业洗护。
k050,shop_mia_fashion,fashion_down_coat,PRODUCT,MANUAL,ENABLED,READY,USE_CASE,supporting,KEEP,保暖吗？,短款轻羽绒设计，适合日常冬季通勤。
k051,shop_mia_fashion,fashion_cardigan,PRODUCT,AUTO_LEARNED,ENABLED,READY,MATERIAL,supporting,KEEP,是什么材质？,粘纤混纺。
k052,shop_mia_fashion,fashion_cardigan,PRODUCT,MANUAL,ENABLED,READY,CARE,supporting,KEEP,怎么晾晒？,建议平铺晾干。
k053,shop_mia_fashion,fashion_cardigan,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,可以暴晒吗？,不建议悬挂暴晒。
k054,shop_mia_fashion,fashion_cardigan,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,版型怎么样？,常规版型。
k055,shop_mia_fashion,fashion_cardigan,PRODUCT,MANUAL,ENABLED,READY,PRODUCT_FAQ,supporting,PATCH,还能买吗？,当前商品已下架，不参与推荐。
k056,shop_pixel_tech,tech_silent_keyboard,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,是什么配列？,84键布局。
k057,shop_pixel_tech,tech_silent_keyboard,PRODUCT,MANUAL,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,连接方式有哪些？,支持蓝牙、2.4G和有线三模。
k058,shop_pixel_tech,tech_silent_keyboard,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,COMPATIBILITY,pixel_compatibility,KEEP,支持Mac吗？,支持Windows和macOS。
k059,shop_pixel_tech,tech_silent_keyboard,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,电池多大？,内置4000mAh电池。
k060,shop_pixel_tech,tech_silent_keyboard,PRODUCT,MANUAL,ENABLED,READY,USE_CASE,pixel_recommendation,KEEP,声音大吗？,采用静音线性轴，适合安静办公。
k061,shop_pixel_tech,tech_monitor,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,分辨率是多少？,1920×1080。
k062,shop_pixel_tech,tech_monitor,PRODUCT,MANUAL,ENABLED,READY,SPECIFICATION,supporting,KEEP,是什么面板？,15.6英寸IPS面板。
k063,shop_pixel_tech,tech_monitor,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,PRODUCT_FAQ,pixel_display,KEEP,支持一线连接吗？,支持USB-C一线连接，设备需支持视频输出。
k064,shop_pixel_tech,tech_monitor,PRODUCT,AUTO_LEARNED,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,有HDMI吗？,支持Mini HDMI。
k065,shop_pixel_tech,tech_monitor,PRODUCT,MANUAL,ENABLED,READY,SPECIFICATION,supporting,KEEP,支持游戏主机吗？,兼容性取决于接口与供电条件。
k066,shop_pixel_tech,tech_charger,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,最大功率多少？,单口最高100W。
k067,shop_pixel_tech,tech_charger,PRODUCT,MANUAL,ENABLED,READY,SPECIFICATION,supporting,KEEP,有几个接口？,双USB-C加一个USB-A。
k068,shop_pixel_tech,tech_charger,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,SPECIFICATION,supporting,KEEP,支持什么协议？,支持PD与PPS协议。
k069,shop_pixel_tech,tech_charger,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,pixel_charger,KEEP,能充笔记本吗？,可为支持PD输入的笔记本充电，实际功率取决于设备。
k070,shop_pixel_tech,tech_charger,PRODUCT,MANUAL,ENABLED,READY,COMPATIBILITY,supporting,KEEP,适合哪些设备？,适合笔记本、平板和手机。
k071,shop_pixel_tech,tech_mouse,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,重量多少？,约58g。
k072,shop_pixel_tech,tech_mouse,PRODUCT,MANUAL,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,连接方式？,支持2.4G和蓝牙双模。
k073,shop_pixel_tech,tech_mouse,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,COMPATIBILITY,supporting,KEEP,支持Mac吗？,支持Windows和macOS。
k074,shop_pixel_tech,tech_mouse,PRODUCT,AUTO_LEARNED,ENABLED,READY,USE_CASE,supporting,KEEP,适合游戏吗？,适合办公和轻度游戏。
k075,shop_pixel_tech,tech_mouse,PRODUCT,MANUAL,ENABLED,READY,PRODUCT_FAQ,supporting,PATCH,有几个颜色？,当前有白色和黑色。
k076,shop_pixel_tech,tech_mech_keyboard,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,是什么配列？,75%配列。
k077,shop_pixel_tech,tech_mech_keyboard,PRODUCT,MANUAL,ENABLED,READY,SPECIFICATION,supporting,KEEP,支持热插拔吗？,支持热插拔。
k078,shop_pixel_tech,tech_mech_keyboard,PRODUCT,HUMAN_REVIEWED,ENABLED,READY,PRODUCT_FAQ,supporting,KEEP,支持改键吗？,支持QMK/VIA改键。
k079,shop_pixel_tech,tech_mech_keyboard,PRODUCT,AUTO_LEARNED,ENABLED,READY,SPECIFICATION,supporting,KEEP,有背光吗？,支持RGB背光。
k080,shop_pixel_tech,tech_mech_keyboard,PRODUCT,MANUAL,ENABLED,READY,USE_CASE,supporting,KEEP,适合谁？,适合开发者和桌搭用户。
